iter	RMSE
0	30.63243625
1	30.09240224
2	29.55591624
3	29.07170488
4	28.62556904
5	28.14801935
6	27.72895875
7	27.31267968
8	26.88849524
9	26.44184179
10	26.05335151
11	25.68891191
12	25.29215372
13	24.89869979
14	24.51910068
15	24.09865491
16	23.7270818
17	23.40075854
18	23.10174178
19	22.73585501
20	22.38130686
21	22.07196214
22	21.74896081
23	21.47032567
24	21.15842625
25	20.81938297
26	20.52361179
27	20.24912959
28	20.01537371
29	19.72534984
30	19.42446475
31	19.17531457
32	18.94753378
33	18.72403315
34	18.50876396
35	18.27949324
36	18.04716126
37	17.80776996
38	17.61367508
39	17.40897739
40	17.19848357
41	17.01277663
42	16.82695062
43	16.65770337
44	16.46033738
45	16.27245798
46	16.05708262
47	15.89563108
48	15.70554298
49	15.50619426
50	15.32999773
51	15.16228655
52	15.01095644
53	14.86061913
54	14.72227803
55	14.57704921
56	14.44684452
57	14.33042354
58	14.20196296
59	14.05118383
60	13.91908119
61	13.78219945
62	13.66062497
63	13.53490763
64	13.42759468
65	13.26840417
66	13.12780614
67	13.03539698
68	12.90892501
69	12.82149328
70	12.71559045
71	12.61437616
72	12.49144316
73	12.39172382
74	12.30236697
75	12.21848008
76	12.12480201
77	12.02775148
78	11.93243347
79	11.85033448
80	11.76221966
81	11.66053606
82	11.56982972
83	11.47334916
84	11.39274181
85	11.32125032
86	11.21652623
87	11.13578588
88	11.03974115
89	10.95048276
90	10.87187888
91	10.80698605
92	10.72643039
93	10.63492844
94	10.55560077
95	10.48758976
96	10.42128224
97	10.37624419
98	10.3269782
99	10.26829288
100	10.19672793
101	10.1438527
102	10.09381663
103	10.01908514
104	9.946633781
105	9.885040918
106	9.807713156
107	9.735192014
108	9.694076139
109	9.636893695
110	9.576791567
111	9.515231834
112	9.4570698
113	9.387901733
114	9.343693003
115	9.29357364
116	9.248924174
117	9.201661666
118	9.147986318
119	9.093661748
120	9.056835158
121	9.008190691
122	8.956374571
123	8.917973965
124	8.87091793
