iter	RMSE
125	8.824555488
126	8.773107761
127	8.723681573
128	8.687373381
129	8.629622909
130	8.593437443
131	8.534551814
132	8.491285997
133	8.45850566
134	8.417070981
135	8.376605395
136	8.331810664
137	8.292714946
138	8.256938706
139	8.226598703
140	8.191170004
141	8.160893955
142	8.121687935
143	8.083489411
144	8.050060101
145	8.016637493
146	7.988208002
147	7.951030962
148	7.908935988
149	7.87675655
150	7.845941635
151	7.808289197
152	7.777373407
153	7.747262986
154	7.708269828
155	7.673979889
156	7.634730346
157	7.596051393
158	7.550407411
159	7.508509193
160	7.468061151
161	7.443446538
162	7.402136943
163	7.370503126
164	7.346953951
165	7.319801568
166	7.289908857
167	7.275564869
168	7.246601368
169	7.22231912
170	7.191255925
171	7.166743733
172	7.138343032
173	7.105464931
174	7.063321726
175	7.030252504
176	6.999246881
177	6.986199449
178	6.950919487
179	6.912205779
180	6.893817604
181	6.881419015
182	6.84786758
183	6.822254035
184	6.800583674
185	6.769089965
186	6.747747335
187	6.719463925
188	6.696971752
189	6.67659972
190	6.641206782
191	6.618760407
192	6.577253982
193	6.54153484
194	6.514285072
195	6.494721661
196	6.473840171
197	6.452674187
198	6.426222591
199	6.39251604
200	6.352419833
201	6.332984906
202	6.307580683
203	6.28729392
204	6.259828074
205	6.240672524
206	6.219474957
207	6.198906413
208	6.175750649
209	6.153519099
210	6.133865755
211	6.105269011
212	6.091268037
213	6.081907473
214	6.047577668
215	6.023506394
216	6.005103684
217	5.975256031
218	5.960342427
219	5.942202536
220	5.929662683
221	5.908475973
222	5.895435431
223	5.860104977
224	5.828240206
225	5.807888836
226	5.78988757
227	5.772983889
228	5.759142339
229	5.743792549
230	5.71635099
231	5.691997998
232	5.665122156
233	5.650214159
234	5.63385461
235	5.603692787
236	5.590803988
237	5.572473116
238	5.55841951
239	5.53198833
240	5.506526821
241	5.491458658
242	5.460877304
243	5.446323299
244	5.411612863
245	5.384879577
246	5.349314288
247	5.319857038
248	5.294036031
249	5.281289694
250	5.267777996
251	5.258923603
252	5.223863353
253	5.195606123
254	5.168816734
255	5.16092874
256	5.1485127
257	5.119288992
258	5.106711323
259	5.074213392
260	5.060747648
261	5.03321198
262	5.006521525
263	4.982166856
264	4.954158523
265	4.924006576
266	4.900421916
267	4.89350711
268	4.882268114
269	4.86007102
270	4.828320688
271	4.797046942
272	4.79000529
273	4.762497297
274	4.737659632
275	4.728177434
276	4.720641714
277	4.704310575
278	4.682722161
279	4.674365905
280	4.648705407
281	4.633276385
282	4.627455056
283	4.607026807
284	4.598014622
285	4.567833792
286	4.542223657
287	4.532167615
288	4.509267596
289	4.481852487
290	4.462296358
291	4.435827044
292	4.419897224
293	4.401122671
294	4.384886614
295	4.374096024
296	4.345326405
297	4.330075416
298	4.315648704
299	4.305472618
300	4.284317662
301	4.27298152
302	4.244459386
303	4.229842113
304	4.214417584
305	4.190797844
306	4.170440603
307	4.152865602
308	4.144773141
309	4.132100432
310	4.121515554
311	4.099164554
312	4.085047574
313	4.062639628
314	4.058407226
315	4.037250175
316	4.034043669
317	4.015571172
318	3.996697504
319	3.968807027
320	3.946467669
321	3.925806868
322	3.911545676
323	3.889303171
324	3.874755624
325	3.855873691
326	3.843551527
327	3.827502713
328	3.822168543
329	3.809057524
330	3.803991145
331	3.798835999
332	3.784632806
333	3.774755606
334	3.755331061
335	3.750870183
336	3.729304969
337	3.716608633
338	3.705840125
339	3.688538189
340	3.666723812
341	3.657606599
342	3.645170765
343	3.640092404
344	3.62477227
345	3.619241987
346	3.602143351
347	3.588897095
348	3.5691717
349	3.553844742
350	3.548257919
351	3.5334427
352	3.508055061
353	3.490204464
354	3.486600147
355	3.469467543
356	3.464446975
357	3.452822529
358	3.435186125
359	3.429268662
360	3.412013201
361	3.402813915
362	3.400039563
363	3.379177929
364	3.367488765
365	3.36298425
366	3.353031904
367	3.335397308
368	3.321862507
369	3.306165093
370	3.30200882
371	3.288811613
372	3.276010201
373	3.273003164
374	3.257110064
375	3.253740911
376	3.242913325
377	3.232970485
378	3.230895413
379	3.220285745
380	3.205985685
381	3.190447233
382	3.186809157
383	3.17447954
384	3.171689766
385	3.165231286
386	3.147258257
387	3.138052637
388	3.134999486
389	3.12125314
390	3.114134248
391	3.107460465
392	3.098858202
393	3.089247554
394	3.07191413
395	3.062830711
396	3.055535149
397	3.046228332
398	3.02979376
399	3.016204596
400	2.99980085
401	2.996184714
402	2.983272156
403	2.964128188
404	2.946400474
405	2.940964766
406	2.929196655
407	2.924541311
408	2.907163979
409	2.904178202
410	2.900328747
411	2.885398248
412	2.877499106
413	2.867724367
414	2.854558038
415	2.852700821
416	2.839408745
417	2.834054839
418	2.821673725
419	2.818337011
420	2.813445007
421	2.796760979
422	2.783560421
423	2.779100604
424	2.765175272
425	2.753980577
426	2.750149505
427	2.748048383
428	2.738026576
429	2.7219713
430	2.705813618
431	2.695293458
432	2.690879141
433	2.677058254
434	2.674248844
435	2.672325204
436	2.659407153
437	2.65702553
438	2.654718941
439	2.650624618
440	2.638413945
441	2.632864548
442	2.619146901
443	2.607241404
444	2.605718625
445	2.60378762
446	2.590843935
447	2.581682875
448	2.579572015
449	2.573790435
450	2.5717324
451	2.560313278
452	2.558709886
453	2.54874906
454	2.53706317
455	2.525281879
456	2.510646225
457	2.507897054
458	2.4944994
459	2.4859113
460	2.481083208
461	2.47307572
462	2.46032332
463	2.457369716
464	2.448399048
465	2.441994488
466	2.440367072
467	2.42697436
468	2.416502258
469	2.412833406
470	2.401248279
471	2.387072761
472	2.379007818
473	2.371709041
474	2.362045591
475	2.352079946
476	2.34718158
477	2.345985041
478	2.343636292
479	2.339691312
480	2.33415438
481	2.326372034
482	2.323368891
483	2.321080029
484	2.308798382
485	2.304989354
486	2.302684977
487	2.29526983
488	2.292369682
489	2.291450588
490	2.285221904
491	2.274112205
492	2.272701825
493	2.265471729
494	2.258669013
495	2.247153928
496	2.244154509
497	2.241631175
498	2.238553447
499	2.227761469
500	2.223705049
501	2.219765456
502	2.217999921
503	2.215986643
504	2.201640561
505	2.191014177
506	2.190113666
507	2.182745363
508	2.172746731
509	2.161328726
510	2.158528678
511	2.150838663
512	2.148340584
513	2.141900593
514	2.139624705
515	2.129443761
516	2.119739206
517	2.11844957
518	2.117138805
519	2.11344971
520	2.105367656
521	2.104524612
522	2.092823168
523	2.091623051
524	2.086940726
525	2.085966915
526	2.084048877
527	2.074822399
528	2.071155407
529	2.061664188
530	2.052709735
531	2.047122095
532	2.046044533
533	2.039501467
534	2.031927637
535	2.028568264
536	2.022721337
537	2.020823039
538	2.01974715
539	2.010329112
540	1.999002148
541	1.992251866
542	1.983153437
543	1.97472531
544	1.964312116
545	1.95660978
546	1.954967416
547	1.948734373
548	1.935388876
549	1.931496626
550	1.922406322
551	1.920173785
552	1.913607311
553	1.912438173
554	1.908489477
555	1.901526513
556	1.897151889
557	1.893236448
558	1.889746053
559	1.882201161
560	1.879242672
561	1.878316237
562	1.875408452
563	1.869687795
564	1.86567852
565	1.858026869
566	1.857094881
567	1.855990476
568	1.849298002
569	1.838830857
570	1.827615373
571	1.825896288
572	1.817142955
573	1.810780534
574	1.809751426
575	1.807287925
576	1.802246162
577	1.797801269
578	1.787416223
579	1.782213142
580	1.781095798
581	1.780052782
582	1.773078483
583	1.771746245
584	1.763628411
585	1.762946016
586	1.760683303
587	1.755406899
588	1.746712975
589	1.73964655
590	1.737120727
591	1.736459199
592	1.729907993
593	1.723153547
594	1.720945365
595	1.712575354
596	1.711046092
597	1.704926684
598	1.699962054
599	1.69160965
600	1.685478873
601	1.684825118
602	1.67929372
603	1.67079894
604	1.664281033
605	1.658315135
606	1.652222497
607	1.649607046
608	1.643031666
609	1.639375698
610	1.635595112
611	1.634485249
612	1.629281331
613	1.628744749
614	1.623282526
615	1.612463522
616	1.610350924
617	1.609450249
618	1.604511099
619	1.601588196
620	1.594001322
621	1.593283594
622	1.588747842
623	1.583157707
624	1.577961448
625	1.577444917
626	1.57232168
627	1.568796467
628	1.564890676
629	1.563973586
630	1.563073888
631	1.562193634
632	1.560473567
633	1.554157739
634	1.551910007
635	1.544445914
636	1.541968351
637	1.534155091
638	1.533621251
639	1.526956736
640	1.522807509
641	1.519274657
642	1.513548967
643	1.512135971
644	1.511627539
645	1.50959463
646	1.502794241
647	1.499797262
648	1.492967053
649	1.492015286
650	1.484656115
651	1.477700795
652	1.477069734
653	1.473380883
654	1.472397066
655	1.46554369
656	1.458319937
657	1.451133068
658	1.446536186
659	1.444052883
660	1.437861379
661	1.432220479
662	1.429807221
663	1.426215413
664	1.418998264
665	1.412251052
666	1.407566894
667	1.402315075
668	1.401657516
669	1.39592345
670	1.393929173
671	1.391378498
672	1.388345434
673	1.381586225
674	1.381010297
675	1.377939664
676	1.371547169
677	1.367296792
678	1.366053887
679	1.363665528
680	1.356714935
681	1.354072478
682	1.353557852
683	1.353041015
684	1.348736992
685	1.346181789
686	1.340524865
687	1.333884014
688	1.329144716
689	1.324601335
690	1.320871765
691	1.318176115
692	1.317339522
693	1.310813513
694	1.307933114
695	1.30137672
696	1.299502338
697	1.294728052
698	1.290043058
699	1.285966734
700	1.285597421
701	1.281621178
702	1.278069845
703	1.274277271
704	1.268264381
705	1.263176214
706	1.257237559
707	1.252152694
708	1.25109729
709	1.246299369
710	1.243914905
711	1.236069481
712	1.230914966
713	1.226203623
714	1.218638937
715	1.213741563
716	1.208312768
717	1.203030864
718	1.202075773
719	1.198065992
720	1.197043185
721	1.193315935
722	1.185330371
723	1.184523335
724	1.182741982
725	1.179086895
726	1.174063369
727	1.169921049
728	1.167737595
729	1.163090983
730	1.158360602
731	1.153356077
732	1.151867475
733	1.147994239
734	1.142018062
735	1.139825654
736	1.13423132
737	1.129159843
738	1.124819347
739	1.120936359
740	1.120365886
741	1.116924768
742	1.114743842
743	1.110317672
744	1.105581842
745	1.099793374
746	1.098728552
747	1.094412828
748	1.09006504
749	1.085983512
750	1.082513822
751	1.082018364
752	1.076358073
753	1.074471983
754	1.073696996
755	1.068391128
756	1.062819829
757	1.061034862
758	1.058714286
759	1.05570914
760	1.055216681
761	1.053260187
762	1.051331409
763	1.050181265
764	1.045441321
765	1.041162994
766	1.03739591
767	1.036880179
768	1.03638097
769	1.035882876
770	1.032868873
771	1.031772463
772	1.026878519
773	1.023342449
774	1.022860337
775	1.019790884
776	1.015905393
777	1.011668815
778	1.007599861
779	1.006611178
780	1.001830215
781	0.9982336274
782	0.9936023853
783	0.9898536699
784	0.9843573748
785	0.9784944256
786	0.9773950851
787	0.9745517206
788	0.9715651806
789	0.9686579256
790	0.9641317647
791	0.9625004326
792	0.9575641284
793	0.9552937775
794	0.9526343541
795	0.9517665902
796	0.9469226921
797	0.9437771386
798	0.9390965239
799	0.9365045941
800	0.9329255049
801	0.9301496374
802	0.926945578
803	0.9246596424
804	0.9231743736
805	0.9194314255
806	0.9165014562
807	0.9119677995
808	0.9085460458
809	0.9041235377
810	0.9031924568
811	0.899128896
812	0.8941822991
813	0.8916290929
814	0.8870207956
815	0.8866087794
816	0.8857419937
817	0.8818873049
818	0.8813787503
819	0.8809661714
820	0.8774199992
821	0.8759551573
822	0.8731776421
823	0.8717104364
824	0.8679306463
825	0.8671326853
826	0.8627513353
827	0.8596259623
828	0.8552839167
829	0.8512839601
830	0.8468352115
831	0.843443681
832	0.841368223
833	0.8394625951
834	0.83914454
835	0.834548974
836	0.8323205681
837	0.8302894012
838	0.8299231063
839	0.8268124096
840	0.8230956679
841	0.8220166135
842	0.8190355061
843	0.815436208
844	0.8120366048
845	0.8088254251
846	0.8078453772
847	0.8064232041
848	0.8056917739
849	0.8035966978
850	0.8019498944
851	0.801486601
852	0.7976616201
853	0.7945952704
854	0.7920927091
855	0.7897105373
856	0.7886519515
857	0.786513417
858	0.7861760902
859	0.7829293857
860	0.7807178201
861	0.7777151931
862	0.7744566802
863	0.770558691
864	0.767262829
865	0.7634502251
866	0.7601978911
867	0.7574892979
868	0.7551519926
869	0.7536004458
870	0.7500919454
871	0.7472908983
872	0.7435984812
873	0.7405619305
874	0.7386937514
875	0.7373486405
876	0.7364468378
877	0.7339108793
878	0.7317096429
879	0.7286104374
880	0.7258397887
881	0.7229629177
882	0.7213518261
883	0.7179289098
884	0.7161085919
885	0.7135524381
886	0.7100823465
887	0.7092720291
888	0.7062836325
889	0.7039176558
890	0.7032648827
891	0.7013219975
892	0.7010122465
893	0.6985614256
894	0.6983467058
895	0.6973896775
896	0.6941302865
897	0.692634608
898	0.6909652464
899	0.6897099313
900	0.686868306
901	0.6855627264
902	0.6852318529
903	0.6816964366
904	0.6782362186
905	0.6752836002
906	0.6750219368
907	0.6736467356
908	0.6705896138
909	0.6701223662
910	0.6677354526
911	0.6669299821
912	0.6638987802
913	0.662795137
914	0.6607546463
915	0.6588293326
916	0.6561076968
917	0.6541224229
918	0.6517424486
919	0.6514584264
920	0.6491790664
921	0.6459144774
922	0.6434705938
923	0.641531867
924	0.6405975017
925	0.6395834751
926	0.637766307
927	0.6371446812
928	0.6356958393
929	0.6338863188
930	0.6313916645
931	0.6296526791
932	0.6270067883
933	0.6252899808
934	0.6230762719
935	0.6207928137
936	0.6183451644
937	0.6157344013
938	0.6151326493
939	0.6120382134
940	0.6089730225
941	0.6080022482
942	0.6047303096
943	0.6017435568
944	0.6012121388
945	0.5999879826
946	0.5966054378
947	0.5961125114
948	0.5954454263
949	0.5920615574
950	0.5898233239
951	0.5883774325
952	0.5857233803
953	0.5841183132
954	0.5823754257
955	0.5819984248
956	0.5815366354
957	0.5792327796
958	0.5775558577
959	0.575573623
960	0.5740006221
961	0.571644654
962	0.5683759697
963	0.5674631861
964	0.5663603547
965	0.5627177418
966	0.5607404944
967	0.5589689723
968	0.5574722208
969	0.5567820265
970	0.5551165849
971	0.5546355025
972	0.5526954095
973	0.5501896179
974	0.5483562698
975	0.5479905113
976	0.5460172228
977	0.5435493577
978	0.5430011488
979	0.5416776957
980	0.5397928906
981	0.5382582484
982	0.5372064703
983	0.5359415598
984	0.5347153904
985	0.534466945
986	0.5333385265
987	0.5329519467
988	0.5301947894
989	0.5278190031
990	0.5275974944
991	0.5263429255
992	0.5256094765
993	0.5247437789
994	0.5230982014
995	0.5211001338
996	0.5202945916
997	0.5179822755
998	0.5154310795
999	0.5128530244
